timestamp,payload
2026-06-30T17:22:24.199835,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:25.200250,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:26.214085,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:27.209144,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:28.212231,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:29.210359,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:30.220202,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:31.220008,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:32.220946,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:33.219876,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:34.231979,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:35.272670,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:36.315171,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:37.230342,"{""temp"":27.5,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:38.239828,"{""temp"":27.5,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:39.243592,"{""temp"":27.5,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:40.234786,"{""temp"":27.5,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:41.226850,"{""temp"":27.5,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:42.239945,"{""temp"":27.5,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:43.240295,"{""temp"":27.5,""humidity"":50.2,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:44.247406,"{""temp"":27.5,""humidity"":50.2,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:45.239848,"{""temp"":27.5,""humidity"":50.2,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:46.249865,"{""temp"":27.5,""humidity"":50.2,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:47.240549,"{""temp"":27.5,""humidity"":50.2,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
